time (ms),datetime,samples,Viavi.UE.Name,Viavi.UE.Slice,Viavi.Cell.Name,Viavi.Cell.beam,Viavi.mMIMO.Type,Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.RsSinr,Viavi.UE.targetThroughputDl,Viavi.UE.anomalies,Viavi.QoS.Priority,Viavi.QoS.5qi,Viavi.DL.Latency,Viavi.QoS.Score,DRB.UECqiUl,DRB.UEBlerUl,Viavi.DRB.UeMcsUl,DRB.UEThpUl,RRU.PrbUsedUl,TB.TotNbrUl,DRB.UECqiDl,DRB.UEBlerDl,Viavi.DRB.UeMcsDl,DRB.UEThpDl,RRU.PrbUsedDl,RRU.PrbTotDl,RRU.PrbTotUl,TB.TotNbrDl,Viavi.CA.cells,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.UE.servingDistance,RRC.timingAdvance,Viavi.UE.RI
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-62,eMBB,S2/N12/C2,0,CSI-RS,-85.0356,-10.0011,36.9333,0.8,0,20,1,0,173.913,0,0,0,0.041567,12.9878,447.51,14.9933,0.000106395,27.9878,1.38896,2.00358,1.89017,12.2526,4059.51,1,1575,1159,2,362.422,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-63,eMBB,S2/N12/C1,0,CSI-RS,-67,-10,40,0.8,0,20,1,0,173.99,0,0,0,0.0488588,15.0167,449.5,15,0,28,1.38957,2.00099,1.88772,14.1667,4061.5,1,1189,1228,2,182,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-64,eMBB,S7/N1/C1,0,CSI-RS,-77,-10,40,0.8,0,20,1,0,173.99,0,0,0,0.0829598,24.9322,449.5,15,0,28,1.38957,2.00099,1.88772,23.521,4061.5,1,829,-474,2,299,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-65,eMBB,S1/N12/C2,0,CSI-RS,-91.0222,-10.9956,9.07889,0.8,0,20,1,0,119.208,0,0,0,0.0351176,10.9778,447.51,9.02889,0.0953234,17.0522,0.951857,2.99765,2.82798,10.3564,4059.51,1,205,971,2,742,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-66,eMBB,S3/N1/C1,0,CSI-RS,-85,-10,37,0.8,0,20,1,0,173.99,0,0,0,0.0830985,24.9722,449.5,15,0,28,1.38957,2.00099,1.88772,23.5587,4061.5,1,-961,646,2,581,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-67,eMBB,S6/N1/C3,0,CSI-RS,-90,-10,32,0.8,0,20,1,0,173.99,0,0,0,0.0830985,24.9722,449.5,15,0,28,1.38957,2.00099,1.88772,23.5587,4061.5,1,-712,-1073,2,585,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-68,eMBB,S2/N12/C1,0,CSI-RS,-76,-10,38.9878,0.8,0,20,1,0,173.99,0,0,0,0.0488588,15.0167,449.5,15,0,28,1.38957,2.00099,1.88772,14.1667,4061.5,1,1244,1433,2,382,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-69,eMBB,S6/N12/C1,0,CSI-RS,-89.2378,-10.0856,12.8067,0.8,0,20,1,0,109.55,0,0,0,0.0351051,10.9722,445.533,10.9133,0.0949184,20.82,0.874831,2.08802,1.96983,10.3512,4045.62,1,-429,-340,2,770.631,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-70,eMBB,S3/N12/C1,0,CSI-RS,-88,-10,14.9878,0.8,0,20,1,0,129.873,0,0,0,0.0592716,18.0189,449.5,12,0.0901866,22.9878,1.0361,2.00099,1.88772,16.999,4061.5,1,-641,237,2,356,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-71,eMBB,S2/N1/C2,0,CSI-RS,-77.1511,-10.0444,39.7522,0.8,0,20,1,0,173.606,0,0,0,0.08247,24.7856,445.533,14.9389,0.00164954,27.8756,1.3865,2.10469,1.98556,23.3826,4057.53,1,1609,1051,2,379.694,0,1
